State/UT,Less than 18 Year - Killed - Male,Less than 18 Year - Killed - Female,18-25 Years - Killed - Male,18-25 Years - Killed - Female,25-35 Years - Killed - Male,25-35 Years - Killed - Female,35-45 Years - Killed - Male,35-45 Years - Killed - Female,45-60 Years - Killed - Male,45-60 Years - Killed - Female,60 and Above - Killed - Male,60 and Above - Killed - Female,Age not known - Killed - Male,Age not known - Killed - Female
Andhra Pradesh,69,33,190,33,229,45,298,50,292,97,169,59,5,0
Arunachal Pradesh,0,0,0,0,2,2,1,3,0,0,0,0,0,0
Assam,16,8,125,20,105,8,80,40,75,18,3,6,2,9
Bihar,71,22,110,33,147,34,142,40,81,25,42,9,0,0
Chhattisgarh,30,9,44,13,80,14,94,18,54,22,32,16,8,4
Goa,2,2,2,0,3,1,8,3,10,4,11,3,0,0
Gujarat,51,24,115,27,235,44,249,65,178,42,93,34,8,5
Haryana,100,13,303,21,290,39,261,26,226,15,70,12,87,8
Himachal Pradesh,16,8,6,1,19,3,28,2,40,4,38,17,0,0
Jammu & Kashmir,15,7,10,1,15,2,15,3,12,4,7,0,11,1
Jharkhand,29,7,57,10,81,10,66,10,37,0,11,0,25,2
Karnataka,51,21,137,25,282,48,286,65,296,84,160,64,0,0
Kerala,24,19,21,5,37,6,78,6,280,90,520,152,10,2
Madhya Pradesh,126,50,213,36,304,65,229,52,178,54,132,38,21,6
Maharashtra,102,30,331,71,435,111,506,113,439,77,185,62,48,5
Manipur,2,2,1,0,4,0,2,1,5,1,2,0,1,0
Meghalaya,0,0,3,2,6,3,5,4,2,0,0,0,0,0
Mizoram,2,0,2,0,2,0,1,0,1,0,1,0,0,0
Nagaland,0,0,2,1,2,0,1,0,1,0,0,0,0,0
Odisha,43,18,89,15,147,26,128,25,114,33,45,12,10,1
Punjab,24,11,60,15,88,19,30,21,99,6,30,8,4,0
Rajasthan,95,41,234,57,364,69,295,41,150,36,48,18,0,0
Sikkim,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Tamil Nadu,29,12,59,24,86,31,68,46,157,59,134,54,7,2
Telangana,39,14,84,21,196,47,241,61,186,58,105,41,0,0
Tripura,5,2,16,1,12,2,8,4,14,2,2,0,0,0
Uttarakhand,10,3,29,9,32,4,29,4,16,4,4,2,0,0
Uttar Pradesh,169,43,225,55,249,48,199,39,166,23,78,15,47,10
West Bengal,138,66,198,18,472,57,417,80,590,121,204,63,168,26
Andaman & Nicobar Islands,0,0,0,0,2,0,2,0,0,1,0,1,0,0
Chandigarh,2,2,3,1,7,1,3,0,5,1,7,3,0,0
Dadra & Nagar Haveli,1,1,5,0,3,0,2,1,5,1,2,1,0,0
Daman & Diu,1,1,1,0,4,0,2,0,2,0,0,0,0,0
Delhi,27,5,77,12,89,13,97,15,53,6,12,7,2,5
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,5,1,6,4,7,1,21,1,12,6,9,2,0,0
Total,1294,475,2758,532,4038,753,3892,839,3776,894,2156,699,464,86
