States/UTs,Drivers - Persons Killed - Number,Drivers - Persons Killed - Rank,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed - Number,Passengers - Persons Killed - Rank,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,395,9,433,801,1234,451,11,416,1358,1774
Arunachal Pradesh,10,25,12,6,18,16,28,40,13,53
Assam,69,18,165,66,231,170,18,324,122,446
Bihar,343,11,245,90,335,2131,2,1672,500,2172
Chhattisgarh,366,10,232,730,962,479,10,284,1253,1537
Goa,6,28,18,24,42,18,26,69,303,372
Gujarat,557,6,627,449,1076,772,7,860,687,1547
Haryana,187,15,96,367,463,220,16,177,379,556
Himachal Pradesh,262,12,132,475,607,424,13,313,2203,2516
Jammu & Kashmir,46,22,87,188,275,43,22,166,508,674
Jharkhand,246,13,208,48,256,354,15,376,74,450
Karnataka,475,8,856,829,1685,635,8,1541,2161,3702
Kerala,50,21,202,178,380,165,19,1144,1329,2473
Madhya Pradesh,745,3,424,3606,4030,1570,3,699,6644,7343
Maharashtra,602,5,899,501,1400,1054,5,2022,1212,3234
Manipur,14,24,19,68,87,22,24,73,198,271
Meghalaya,21,23,26,11,37,18,26,29,13,42
Mizoram,4,29,2,1,3,9,29,7,8,15
Nagaland,2,31,8,13,21,7,30,11,26,37
Odisha,185,16,305,269,574,424,13,605,588,1193
Punjab,479,7,213,151,364,584,9,229,177,406
Rajasthan,634,4,506,904,1410,1381,4,838,2435,3273
Sikkim,9,26,10,2,12,19,25,11,2,13
Tamil Nadu,839,2,454,4613,5067,775,6,427,4561,4988
Telangana,227,14,71,564,635,451,11,241,2701,2942
Tripura,9,26,24,0,24,68,20,396,6,402
Uttarakhand,90,17,100,19,119,210,17,351,55,406
Uttar Pradesh,2351,1,1848,1119,2967,2518,1,2499,1241,3740
West Bengal,61,19,56,64,120,23,23,15,24,39
Andaman & Nicobar Islands,0,34,4,6,10,1,33,4,35,39
Chandigarh,0,34,0,0,0,0,35,0,0,0
Dadra & Nagar Haveli,1,33,2,0,2,2,32,2,0,2
Daman & Diu,3,30,11,3,14,1,33,8,21,29
Delhi,59,20,29,184,213,65,21,24,54,78
Lakshadweep,0,34,0,0,0,0,35,0,0,0
Puducherry,2,31,7,35,42,6,31,8,50,58
Total,9349,NA,8331,16384,24715,15086,NA,15881,30941,46822
