States/UTs,Hit & Run - Total Accidents,Hit & Run - Persons Killed,Hit & Run - Persons Injured - Greviously Injured,Hit & Run - Persons Injured - Minor Injury,Hit & Run - Persons Injured - Total Injured,With Parked Vehicle - Total Accidents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Injured - Greviously Injured,With Parked Vehicle - Persons Injured - Minor Injury,With Parked Vehicle - Persons Injured - Total Injured,Hit from Back - Total Accidents,Hit from Back - Persons Killed,Hit from Back - Persons Injured - Greviously Injured,Hit from Back - Persons Injured - Minor Injury,Hit from Back - Persons Injured - Total Injured,Hit from Side - Total Accidents,Hit from Side - Persons Killed,Hit from Side - Persons Injured - Greviously Injured,Hit from Side - Persons Injured - Minor Injury,Hit from Side - Persons Injured - Total Injured,Run Off Road - Total Accidents,Run Off Road - Persons Killed,Run Off Road - Persons Injured - Greviously Injured,Run Off Road - Persons Injured - Minor Injury,Run Off Road - Persons Injured - Total Injured,Fixed Object - Total Accidents,Fixed Object - Persons Killed,Fixed Object - Persons Injured - Greviously Injured,Fixed Object - Persons Injured - Minor Injury,Fixed Object - Persons Injured - Total Injured,Vehicle Overturn - Total Accidents,Vehicle Overturn - Persons Killed,Vehicle Overturn - Persons Injured - Greviously Injured,Vehicle Overturn - Persons Injured - Minor Injury,Vehicle Overturn - Persons Injured - Total Injured,Head on Collision - Total Accidents - Number,Head on Collision - Total Accident - Rank,Head on Collision - Persons Killed - Number,Head on Collision - Persons Killed - Rank,Head on Collision - Persons Injured - Greviously Injured,Head on Collision - Persons Injured - Minor Injury,Head on Collision - Persons Injured - Total Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,1248,594,277,583,860,574,189,168,395,563,4659,1281,1604,3251,4855,1845,493,791,1061,1852,973,317,378,617,995,660,254,201,555,756,750,314,286,781,1067,8595,5,2778,3,1453,7202,8655,5171,1336,1309,2544,3853
Arunachal Pradesh,30,22,24,10,34,12,4,16,9,25,9,3,7,7,14,13,5,14,5,19,23,15,23,6,29,11,8,15,10,25,58,38,11,17,28,53,29,36,25,30,14,44,68,44,81,24,105
Assam,1333,522,1000,362,1362,336,97,271,32,303,1914,726,1381,262,1643,1272,420,918,239,1157,301,96,169,64,233,248,89,177,56,233,751,290,538,129,667,806,16,339,18,553,103,656,1287,387,957,164,1121
Bihar,5196,3955,2812,702,3514,267,149,166,66,232,1012,639,659,134,793,862,583,541,205,746,655,416,359,95,454,331,55,68,17,85,433,268,291,73,364,844,15,664,15,410,81,491,0,0,0,0,0
Chhattisgarh,2241,858,409,1422,1831,361,127,55,258,313,2546,617,388,1756,2144,2083,533,338,1488,1826,603,245,105,422,527,451,185,62,287,349,488,197,136,503,639,2252,11,720,12,445,1743,2188,2839,1110,559,2339,2898
Goa,59,13,6,8,14,27,1,0,2,2,943,57,103,370,473,1361,76,107,445,552,232,27,1,61,62,311,26,9,95,104,43,3,0,19,19,733,18,59,22,120,203,323,0,0,0,0,0
Gujarat,3351,1782,1836,1270,3106,1309,478,613,570,1183,4563,1779,2417,1902,4319,3130,1070,1726,1214,2940,725,244,373,314,687,688,341,366,282,648,1697,766,902,664,1566,3235,10,1459,9,1308,1620,2928,71,77,71,19,90
Haryana,2584,1114,393,1746,2139,748,353,67,455,522,699,325,124,463,587,723,343,125,437,562,361,145,85,235,320,324,135,41,309,350,798,401,130,516,646,760,17,347,17,152,517,669,4241,1955,1002,3223,4225
Himachal Pradesh,662,158,280,404,684,109,16,22,85,107,157,46,65,190,255,407,75,212,365,577,644,580,261,1523,1784,197,92,99,309,408,156,58,48,337,385,608,20,130,19,375,855,1230,170,53,71,50,121
Jammu & Kashmir,661,81,67,762,829,25,16,49,40,89,102,19,38,91,129,139,24,26,154,180,298,68,229,345,574,29,2,4,44,48,134,28,33,121,154,267,22,34,26,148,308,456,4323,712,3575,1811,5386
Jharkhand,1310,951,740,77,817,192,105,102,26,128,724,444,504,106,610,470,281,328,94,422,343,223,213,64,277,222,131,157,67,224,724,463,392,138,530,722,19,516,16,422,101,523,687,428,310,134,444
Karnataka,3438,1157,1361,1737,3098,1276,342,711,870,1581,15942,4435,8364,10406,18770,7089,1494,3449,5419,8868,1932,461,1230,1785,3015,971,219,389,808,1197,1568,339,701,1282,1983,9234,3,2475,5,4886,7886,12772,257,68,186,92,278
Kerala,1189,124,924,389,1313,359,53,223,145,368,5664,399,4301,2141,6442,7349,477,6029,2661,8690,324,66,257,186,443,499,126,288,240,528,760,114,622,394,1016,7238,6,852,11,6211,2944,9155,16799,2092,12817,4686,17503
Madhya Pradesh,12790,2782,1593,13029,14622,976,136,128,883,1011,8507,1520,1061,7308,8369,4612,723,436,4247,4683,1205,327,214,1264,1478,833,156,48,638,686,2530,567,261,3442,3703,8952,4,2008,7,844,8593,9437,10992,2487,1505,9168,10673
Maharashtra,6258,2527,3098,1969,5067,664,190,428,284,712,8020,2642,4963,2508,7471,5418,1755,3239,1855,5094,1436,526,712,513,1225,1581,462,879,658,1537,2018,780,1302,681,1983,9542,2,4035,2,5347,2418,7765,780,344,367,144,511
Manipur,51,14,10,69,79,22,6,11,36,47,90,22,40,82,122,138,24,70,174,244,18,6,26,11,37,27,6,4,40,44,48,4,3,96,99,122,25,24,28,87,182,269,85,28,51,50,101
Meghalaya,27,17,8,3,11,11,6,3,2,5,12,7,2,4,6,19,12,4,2,6,9,6,2,1,3,18,8,4,3,7,22,14,7,1,8,42,30,29,27,12,1,13,239,83,70,76,146
Mizoram,14,9,7,15,22,1,0,0,1,1,4,2,0,4,4,4,5,3,0,3,15,15,12,22,34,0,0,0,0,0,0,0,0,0,0,6,35,4,32,1,3,4,9,10,7,5,12
Nagaland,71,7,27,22,49,24,0,10,16,26,40,0,17,25,42,31,1,10,14,24,152,16,38,43,81,14,2,5,5,10,21,10,16,28,44,76,28,2,35,21,38,59,1,1,0,0,0
Orissa,2183,1089,1174,834,2008,400,154,227,230,457,1581,685,974,606,1580,1065,385,609,531,1140,420,178,210,272,482,588,293,286,326,612,1110,513,580,512,1092,1369,13,669,14,750,725,1475,2546,1349,1412,1536,2948
Punjab,1498,1186,476,239,715,386,301,117,50,167,1041,706,428,233,661,957,635,388,202,590,218,147,95,46,141,133,93,48,37,85,613,399,193,170,363,922,14,691,13,294,132,426,660,582,153,83,236
Rajasthan,5750,2718,1918,3722,5640,382,200,154,222,376,4722,2143,1301,2997,4298,2145,834,664,1514,2178,334,164,175,177,352,142,68,35,117,152,963,487,337,978,1315,3935,9,2185,6,1145,2984,4129,3370,1521,988,2119,3107
Sikkim,20,5,22,19,41,4,2,8,0,8,0,0,0,0,0,0,0,0,0,0,118,49,122,125,247,16,18,22,26,48,0,0,0,0,0,22,32,11,29,22,4,26,0,0,0,0,0
Tamil Nadu,4481,1170,402,4073,4475,1700,327,233,1845,2078,11180,2142,1082,12104,13186,7362,1370,821,7728,8549,2824,610,272,3289,3561,2803,512,236,3388,3624,4873,961,567,5360,5927,24861,1,4269,1,2279,27417,29696,3836,855,107,3334,3441
Telangana,2409,690,258,1848,2106,326,93,22,262,284,5697,1281,561,5197,5758,2832,607,298,2735,3033,226,195,43,187,230,527,291,24,431,455,870,425,110,1106,1216,4942,7,1527,8,454,5317,5771,4401,1494,551,4209,4760
Tripura,98,42,141,2,143,2,2,0,0,0,156,54,149,4,153,113,37,117,3,120,2,1,0,1,1,6,2,16,0,16,28,15,89,0,89,147,24,60,21,216,3,219,0,0,0,0,0
Uttarakhand,212,131,104,10,114,11,5,7,4,11,284,167,214,39,253,246,137,190,28,218,272,197,281,59,340,25,14,24,1,25,36,18,35,8,43,80,27,45,24,58,12,70,302,333,428,69,497
Uttar Pradesh,7164,3649,3194,1431,4625,2515,1299,1202,567,1769,4942,2437,2204,1153,3357,4985,2537,2258,1203,3461,3683,1923,1725,954,2679,1822,911,962,425,1387,3370,1841,1694,703,2397,4542,8,2520,4,2110,911,3021,9545,5139,4968,2000,6968
West Bengal,1217,505,415,274,689,268,81,199,69,268,1744,827,1023,259,1282,891,288,622,172,794,656,390,585,134,719,296,86,248,216,464,406,170,523,202,725,2009,12,1016,10,1851,420,2271,5218,2348,3911,874,4785
A & N Islands,22,2,4,21,25,12,0,0,5,5,52,7,9,50,59,40,2,19,24,43,13,1,0,8,8,15,1,1,13,14,17,2,3,9,12,81,26,4,32,23,70,93,2,0,0,1,1
Chandigarh,4,2,0,1,1,1,1,0,2,2,108,35,6,81,87,149,50,8,132,140,0,0,0,0,0,9,1,0,5,5,2,1,0,3,3,41,31,8,31,7,50,57,2,0,0,5,5
D & N Haveli,34,28,16,0,16,0,0,0,0,0,8,3,9,0,9,15,9,12,0,12,0,0,0,0,0,7,4,8,0,8,0,0,0,0,0,14,33,9,30,18,2,20,2,1,1,0,1
Daman & Diu,19,8,13,24,37,1,0,1,0,1,12,9,3,3,6,6,2,4,3,7,3,3,1,0,1,11,5,11,5,16,2,1,2,1,3,12,34,3,34,9,8,17,10,4,5,1,6
Delhi,2127,688,270,1550,1820,207,38,46,148,194,1337,296,293,1051,1344,760,153,111,648,759,174,51,17,155,172,86,26,14,74,88,195,50,34,139,173,232,23,57,23,47,196,243,1397,331,288,1005,1293
Lakshadweep,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,1,1,1,0,1
Puducherry,71,19,23,59,82,57,9,6,51,57,293,46,116,188,304,242,37,125,139,264,127,23,30,107,137,23,1,12,9,21,135,11,44,107,151,520,21,61,20,280,306,586,129,19,15,110,125
Total,69822,28619,23302,38686,61988,13565,4780,5265,7630,12895,88765,25801,34411,54975,89386,58774,15477,24613,35141,59754,19319,7731,8243,13085,21328,13924,4623,4763,9496,14259,25619,9548,9890,18520,28410,97816,NA,29646,NA,32388,73369,105757,79440,25192,35766,39875,75641
