State/UT,18 Yrs - Killed - Male,18 Yrs - Killed - Female,18-25 Yrs - Killed - Male,18-25 Yrs - Killed - Female,25-35 Yrs - Killed - Male,25-35 Yrs - Killed - Female,35-40 Yrs - Killed - Male,35-40 Yrs - Killed - Female,45-60 Yrs - Killed - Male,45-60 Yrs - Killed - Female,60 Yrs above - Killed - Male,60 Yrs above - Killed - Female,Age not known - Killed - Male,Age not known - Killed - Female
Andhra Pradesh,10,0,20,1,27,1,34,0,56,2,19,1,0,0
Arunachal Pradesh,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Assam,21,0,48,1,30,2,24,0,2,0,0,0,0,0
Bihar,29,12,20,8,25,6,34,7,11,1,0,0,0,0
Chhattisgarh,4,2,18,3,22,4,34,2,23,1,13,0,5,2
Goa,0,0,1,0,0,0,1,0,2,0,0,0,0,0
Gujarat,14,1,31,2,35,4,16,1,22,1,3,0,0,0
Haryana,15,2,25,2,24,7,15,2,24,3,11,2,9,2
Himachal Pradesh,0,0,0,0,1,0,0,0,4,0,3,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2,0,9,1,13,2,7,1,5,0,3,0,17,0
Karnataka,4,0,14,0,15,0,5,0,5,0,3,0,0,0
Kerala,4,0,1,0,1,0,4,0,28,0,48,0,0,0
Madhya Pradesh,20,2,31,8,27,5,21,2,11,0,5,0,0,0
Maharashtra,13,2,50,11,35,2,35,4,31,2,4,2,1,0
Manipur,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,30,5,44,1,47,2,36,0,28,2,8,0,2,0
Punjab,7,2,17,1,25,1,20,0,26,2,21,1,0,0
Rajasthan,7,0,11,2,20,3,5,0,5,0,2,0,8,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4,4,14,1,10,1,27,3,34,7,32,2,2,0
Telangana,16,1,10,0,3,0,6,0,16,0,6,0,0,0
Tripura,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Uttarakhand,3,1,9,0,11,0,5,1,0,0,0,0,0,0
Uttar Pradesh,239,58,292,91,226,39,166,32,110,10,31,0,67,10
West Bengal,5,7,17,2,40,0,29,2,49,2,10,1,21,3
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,1,0,0,0,5,1,2,0,2,0,0,0
Dadra & Nagar Haveli,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,3,0,11,0,14,1,12,0,7,0,0,0,8,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,7,0,7,0,7,0,9,0,0,0,0,0
Total,450,99,706,135,660,80,549,58,513,33,224,9,140,17
