State/UT,Less than 18 Years - Male,Less than 18 Years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female
Andhra Pradesh,43,4,563,23,774,20,800,30,556,14,134,6,8,0
Arunachal Pradesh,7,0,14,0,20,0,19,0,10,0,0,0,0,0
Assam,27,2,301,13,270,5,203,3,71,0,2,0,8,0
Bihar,0,0,611,3,502,2,328,1,195,0,20,0,0,0
Chhattisgarh,49,2,584,17,822,14,441,9,213,4,0,0,34,1
Goa,2,0,26,2,43,3,28,3,35,1,9,0,0,0
Gujarat,86,5,679,18,883,27,670,22,391,12,72,2,116,0
Haryana,96,6,390,11,493,10,339,8,219,8,88,2,138,2
Himachal Pradesh,10,0,89,1,192,3,94,0,84,3,12,0,0,0
Jammu & Kashmir,14,0,80,1,118,0,81,0,21,0,1,0,5,1
Jharkhand,68,23,657,20,360,22,159,19,132,19,14,0,154,19
Karnataka,47,1,1072,17,1419,13,1032,8,609,4,131,0,0,0
Kerala,37,1,485,6,389,12,362,19,398,9,215,5,12,0
Madhya Pradesh,208,2,936,8,1270,16,812,10,403,5,142,1,48,0
Maharashtra,90,7,1255,30,1653,45,1392,20,955,12,204,2,118,3
Manipur,8,0,8,1,16,0,10,0,13,0,1,0,3,0
Meghalaya,0,0,19,4,28,7,25,7,16,1,0,0,0,0
Mizoram,0,0,0,0,3,0,2,0,0,0,0,0,0,0
Nagaland,0,0,2,0,4,1,2,0,3,0,0,0,1,0
Odisha,67,1,535,10,589,5,399,3,225,1,28,0,62,0
Punjab,53,3,449,44,554,56,429,48,307,26,43,9,45,1
Rajasthan,117,6,1275,26,1398,27,994,8,333,5,37,0,22,0
Sikkim,3,0,2,1,1,0,2,1,1,0,0,0,1,0
Tamil Nadu,65,1,949,42,1178,64,1121,49,851,34,289,6,19,0
Telangana,55,0,562,15,776,4,606,4,421,1,126,2,0,0
Tripura,1,0,26,0,22,0,4,0,1,0,0,0,0,0
Uttarakhand,12,0,69,4,90,5,67,3,23,1,4,0,0,1
Uttar Pradesh,744,82,2040,152,1853,116,1509,80,934,36,289,24,427,18
West Bengal,47,10,195,4,395,15,271,23,220,8,40,0,247,41
Andaman & Nicobar Islands,0,0,2,1,2,0,1,0,0,0,0,0,0,0
Chandigarh,2,0,8,1,7,1,5,0,5,0,5,0,0,0
Dadra & Nagar Haveli,0,0,4,1,7,2,6,0,2,0,1,0,0,0
Daman & Diu,1,0,8,0,5,0,3,0,2,0,1,0,0,0
Delhi,14,0,169,7,188,4,114,6,49,3,14,0,15,2
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,7,1,10,0,20,2,14,2,20,1,7,2,0,0
Total,1980,157,14074,483,16344,501,12344,386,7718,208,1929,61,1483,89
