States/UTs,T-Junction - Total Number of Accidents - Number,T-Junction - Total Number of Accidents - Rank,T-Junction - Persons Killed - Number,T-Junction - Persons Killed - Rank,T-Junction - Persons Injured - Greviously Injured,T-Junction - Persons Injured - Minor Injury,T-Junction - Persons Injured - Total Injured,Y-Junction - Total Number of Accidents,Y-Junction - Persons Killed,Y-Junction - Persons Injured - Greviously Injured,Y-Junction - Persons Injured - Minor Injury,Y-Junction - Persons Injured - Total Injured,Four arm Junction - Total Number of Accidents,Four arm Junction - Persons Killed,Four arm Junction - Persons Injured - Greviously Injured,Four arm Junction - Persons Injured - Minor Injury,Four arm Junction - Persons Injured - Total Injured,Staggered Junction - Total Number of Accidents,Staggered Junction - Persons Killed,Staggered Junction - Persons Injured - Greviously Injured,Staggered Junction - Persons Injured - Minor Injury,Staggered Junction - Persons Injured - Total Injured,Round about Junction - Total Number of Accidents,Round about Junction - Persons Killed,Round about Junction - Persons Injured - Greviously Injured,Round about Junction - Persons Injured - Minor Injury,Round about Junction - Persons Injured - Total Injured,Others - Total Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,2384,8,762,6,1006,1300,2306,1473,404,659,841,1500,1253,395,425,690,1115,1053,351,399,750,1149,1274,476,316,950,1266,17038,5168,3662,12458,16120
Arunachal Pradesh,38,25,30,22,25,15,40,35,21,20,12,32,37,25,15,18,33,44,27,25,16,41,26,10,18,5,23,97,62,118,36,154
Assam,838,17,260,17,520,100,620,624,188,386,95,481,501,132,357,63,420,342,97,232,23,255,438,99,218,76,294,5505,2190,4251,1054,5305
Bihar,812,18,509,14,395,100,495,388,237,218,70,288,424,261,234,73,307,0,0,0,0,0,124,70,80,41,121,7852,5652,4379,1089,5468
Chhattisgarh,1730,12,483,16,282,1095,1377,549,162,113,343,456,825,215,106,412,518,543,177,157,371,528,66,12,10,43,53,10151,3543,1829,7954,9783
Goa,129,22,7,28,7,31,38,58,4,5,13,18,269,9,12,227,239,0,0,0,0,0,93,5,0,11,11,3160,237,322,921,1243
Gujarat,2096,9,749,7,974,858,1832,818,318,380,394,774,1606,488,805,684,1489,1892,650,843,907,1750,1060,402,487,519,1006,11297,5389,6123,4493,10616
Haryana,325,20,129,19,83,186,269,296,133,64,154,218,470,213,79,259,338,174,76,36,114,150,286,137,52,160,212,9687,4430,1805,7028,8833
Himachal Pradesh,9,33,0,34,2,8,10,21,4,8,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080,1204,1423,4092,5515
Jammu & Kashmir,461,19,88,20,245,452,697,149,34,79,105,184,70,21,35,38,73,29,4,38,12,50,1064,130,869,715,1584,4205,707,2903,2354,5257
