Sl. No.,States/UTs,2017,2018,Reduction(+)/Increase (-),% Share in Total Increase
1,Andhra Pradesh,25727,24475,1252,-58.7
2,Arunachal Pradesh,241,277,-36,1.7
3,Assam,7170,8248,-1078,50.5
4,Bihar,8855,9600,-745,34.9
5,Chhattisgarh,13563,13864,-301,14.1
6,Goa,3917,3709,208,-9.7
7,Gujarat,19081,18769,312,-14.6
8,Haryana,11258,11238,20,-0.9
9,Himachal Pradesh,3114,3110,4,-0.2
10,Jammu & Kashmir,5624,5978,-354,16.6
11,Jharkhand,5198,5394,-196,9.2
12,Karnataka,42542,41707,835,-39.1
13,Kerala,38470,40181,-1711,80.2
14,Madhya Pradesh,53399,51397,2002,-93.8
15,Maharashtra,35853,35717,136,-6.4
16,Manipur,578,601,-23,1.1
17,Meghalaya,675,399,276,-12.9
18,Mizoram,68,53,15,-0.7
19,Nagaland,531,430,101,-4.7
20,Odisha,10855,11262,-407,19.1
21,Punjab,6273,6428,-155,7.3
22,Rajasthan,22112,21743,369,-17.3
23,Sikkim,196,180,16,-0.7
24,Tamil Nadu,65562,63920,1642,-76.9
25,Telangana,22484,22230,254,-11.9
26,Tripura,503,552,-49,2.3
27,Uttarakhand,1603,1468,135,-6.3
28,Uttar Pradesh,38783,42568,-3785,177.4
29,West Bengal,11631,12705,-1074,50.3
30,Andaman & Nicobar Islands,189,254,-65,3
31,Chandigarh,342,316,26,-1.2
32,Dadra & Nagar Haveli,67,80,-13,0.6
33,Daman & Diu,79,76,3,-0.1
34,Delhi,6673,6515,158,-7.4
35,Lakshadweep,1,3,-2,0.1
36,Puducherry,1693,1597,96,-4.5
Total,Total,464910,467044,-2134,100
